Species,Genus,Family,Population,Longitude,Latitude,Average Female adult weight (g),SD Female adult weight (g),Sample Size Female adult weight,Mean F SVL adults (mm),SD F SVL adults (mm),Sample size Mean F SVL adults,F SVL at maturity (mm),Offspring SVL (mm),Mean Clutch Size,Sample size Clutch Size.,Mode of reproduction,Clutches per year,Clutch Frequency,RCM,Foraging Mode,Distribution,Prefered Habitat Type,Source
Mabuya frenata,Mabuya,Scincidae,Minacu,-48.3,-13.83,NA,NA,NA,66.42,NA,NA,NA,NA,3.8,31,Viviparous,NA,2,NA,Active,Tropical,Terrestrial,(Pinto 1999b)
Mabuya frenata,Mabuya,Scincidae,"Alto Araguaia, 1989",-53.22,-17.31,NA,NA,NA,65.4,2.5,12,NA,NA,4,12,Viviparous,1,1,NA,Active,Tropical,Arboreal,(Pinto 1999b)
Mabuya frenata,Mabuya,Scincidae,Valinhos,-47,-22.97,NA,NA,NA,71.95,NA,NA,NA,NA,4.9,113,Viviparous,1,1,NA,Active,Tropical,Saxicolous,(Vrcibradic and Rocha 1998b)
Mabuya frenata,Mabuya,Scincidae,"Sao Domingos, 2003-2004",-46.33,-13.39,5.375,0.41,4,66.75,0.96,4,66,33,3.54,13,Viviparous,1,1,NA,Active,Tropical,Terrestrial,(Vrcibradic and Rocha 1998a)
Mabuya guaporicola,Mabuya,Scincidae,Cerrado,-50.33,-11.34,NA,NA,NA,59,NA,NA,43,37,4.25,4,Viviparous,1,1,NA,Active,Tropical,Psammophilus,(Mesquita et al. 2000)
Mabuya guaporicola,Mabuya,Scincidae,"Ilha do Bananal, 1999",-50.33,-11.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Viviparous,1,1,NA,Active,Tropical,Terrestrial,Present work
Mabuya heathi,Mabuya,Scincidae,"Exu, 1977",-39.71,-7.51,NA,NA,NA,67.05,NA,NA,NA,NA,5,131,Viviparous,1,1,0.326,Active,Tropical,Terrestrial,(Vitt and Blackburn 1983)
Mabuya heathi,Mabuya,Scincidae,"Exu, 1977",-40.17,-7.42,NA,NA,NA,70.3,NA,NA,45,32.4,5,NA,Viviparous,1,1,NA,Active,Tropical,Terrestrial,(Vitt and Blackburn 1983)
Mabuya heathi,Mabuya,Scincidae,"Catimbau, 2013",-37.25,-8.59,4.1,1.2,5,64.25,8.59,5,51.84,27.08,5.25,4,Viviparous,1,1,NA,Active,Tropical,Terrestrial,(Vitt and Blackburn 1983)
Mabuya heathi,Mabuya,Scincidae,"Jalapao, 2002-2004",-47.07,-10.37,5.233,1.35,10,64.22,6.27,10,54,46,3,10,Viviparous,1,1,NA,Active,Tropical,Terrestrial,Present work
Mabuya heathi,Mabuya,Scincidae,"Mamanguape, 2009-2010",-35.12,-6.83,4.867,2.11,4,60.67,8.43,4,50,42,3,3,Viviparous,1,1,NA,Active,Tropical,Terrestrial,Present work
