Species,Genus,Family,Population,Longitude,Latitude,Average Female adult weight (g),SD Female adult weight (g),Sample Size Female adult weight,Mean F SVL adults (mm),SD F SVL adults (mm),Sample size Mean F SVL adults,F SVL at maturity (mm),Offspring SVL (mm),Mean Clutch Size,Sample size Clutch Size.,Mode of reproduction,Clutches per year,Clutch Frequency,RCM,Foraging Mode,Distribution,Prefered Habitat Type,Source
Trachylepis variegata,Trachylepis,Scincidae,"Africa, 1969-1970",20.63,-26.9,1.7,0.456,6,42.2,2.93,6,39,19,1.83,6,Viviparous,NA,1,0.1102,Active,Temperate,Terrestrial,(Pianka et al. 1979)
Typhlosaurus gariepensis,Typhlosaurus,Scincidae,"Africa, 1969-1970",20.62,-26.69,1.157,0.396,14,119.9,4.89,15,118,72.5,2,9,Viviparous,NA,1,0.19,Active,Temperate,Fossorial,(Huey et al. 1974)
Typhlosaurus lineatus,Typhlosaurus,Scincidae,"Africa, 1969-1970",21.25,-27.03,3.1,0.64,23,141.7,10.96,23,126,20,1.57,23,Viviparous,NA,1,0.1909,Active,Temperate,Fossorial,(Huey et al. 1974)
Shinisaurus crocodilurus,Shinisaurus,Shinisauridae,"Quang Ninh, Vietnam",107.29,21.01,NA,NA,NA,154.4,NA,NA,147,34.8,6.3,3,Viviparous,2,2,NA,Active,Tropical,Aquatic,(Ziegler et al. 2008)
Chatogekko amazonicus,Chatogekko,Sphaerodactylidae,PEGM 1998,-64.56,-10.32,0.263,0.07,7,22.786,0.49,7,22.4,12.5,1,7,Oviparous,1,1,0.096,Sit and wait,Tropical,Terrestrial,Present work
Chatogekko amazonicus,Chatogekko,Sphaerodactylidae,"Rio Ituxi, 1997",-65.72,-8.33,0.308,0.02,9,23.411,0.57,9,22.7,13.3,1,9,Oviparous,1,1,0.115,Sit and wait,Tropical,Terrestrial,Present work
Chatogekko amazonicus,Chatogekko,Sphaerodactylidae,"Roraima 1991, Catrimani",-62.29,1.74,0.313,0.03,3,24.5,0.44,3,24.2,20.2,1,3,Oviparous,1,1,0.082,Sit and wait,Tropical,Terrestrial,Present work
Coleodactylus meridionalis,Coleodactylus,Sphaerodactylidae,"Mamanguape, 2009-2010",-35.12,-6.83,0.15,0,5,30.5,7.56,5,23,12,1,2,Oviparous,1,1,NA,Sit and wait,Tropical,Terrestrial,Present work
Coleodactylus meridionalis,Coleodactylus,Sphaerodactylidae,"Rio Tinto, 2009-2010",-35.08,-6.8,0.192,0.04,11,21.397,1.49,11,19,18.51,1,6,Oviparous,1,1,NA,Sit and wait,Tropical,Terrestrial,Present work
Coleodactylus septentrionalis,Coleodactylus,Sphaerodactylidae,Roraima 1993,-62.43,2,0.58,0.08,16,30.064,1.01,16,28.2,13.1,1,14,Oviparous,1,1,0.106,Sit and wait,Tropical,Terrestrial,Present work
Gonatodes hasemani,Gonatodes,Sphaerodactylidae,Guajara-Mirim,-65.33,-10.79,NA,NA,NA,40.1,NA,NA,NA,NA,1,11,Oviparous,NA,2,NA,Sit and wait,Tropical,Arboreal,Present work
Gonatodes hasemani,Gonatodes,Sphaerodactylidae,"Acre, 1996",-72.78,-8.26,2.1,0.3,3,43.33,2.081665999,3,41,23,1,2,Oviparous,1,1,0.15,Sit and wait,Tropical,Arboreal,(Vitt et al. 2000)
Gonatodes hasemani,Gonatodes,Sphaerodactylidae,PEGM 1998,-64.56,-10.32,1.661,0.31,18,39.817,2.38,18,35,20.4,1,18,Oviparous,1,1,0.09,Sit and wait,Tropical,Semi-arboreal,Present work
Gonatodes hasemani,Gonatodes,Sphaerodactylidae,"Rio Ituxi, 1997",-65.72,-8.33,1.957,0.54,9,42,2.94,9,38,22,1,4,Oviparous,1,1,0.063,Sit and wait,Tropical,Semi-arboreal,Present work
Gonatodes humeralis,Gonatodes,Sphaerodactylidae,Sao Luis,-44.31,-2.53,NA,NA,NA,NA,NA,NA,NA,NA,1,14,Oviparous,2,2,NA,Sit and wait,Tropical,Arboreal,(Miranda and Andrade 2003)
Gonatodes humeralis,Gonatodes,Sphaerodactylidae,Guajara-Mirim,-65.33,-10.79,NA,NA,NA,36.4,NA,NA,NA,NA,1,7,Oviparous,NA,2,NA,Sit and wait,Tropical,Arboreal,(Vitt et al. 2000)
Gonatodes humeralis,Gonatodes,Sphaerodactylidae,"Acre, 1996",-72.78,-8.26,1.05,0.178670302,14,36.5,1.911503637,14,33,18.7,1,11,Oviparous,1,1,0.115,Sit and wait,Tropical,Arboreal,Present work
Gonatodes humeralis,Gonatodes,Sphaerodactylidae,"Brazil, Amazonas, 1998-1999",-59.9,-3.52,1.224,0.13,5,38.086,0.54,5,35,28,1,5,Oviparous,1,1,0.081,Sit and wait,Tropical,Arboreal,(Vitt et al. 2000)
Gonatodes humeralis,Gonatodes,Sphaerodactylidae,"Cemex, Para, 95",-54.83,-3.15,0.963,0.19,19,36.421,1.74,19,32,18,1,23,Oviparous,1,1,0.086,Sit and wait,Tropical,Arboreal,Present work
Gonatodes humeralis,Gonatodes,Sphaerodactylidae,PEGM 1998,-64.56,-10.32,0.967,0.2,12,35.658,1.65,12,33.4,17.2,1.68,11,Oviparous,1,1,0.07,Sit and wait,Tropical,Arboreal,Present work
Gonatodes humeralis,Gonatodes,Sphaerodactylidae,Roraima 1993,-62.43,2,1,0.12,8,35.2,1.07,8,33,31,1,7,Oviparous,1,1,0.105,Sit and wait,Tropical,Arboreal,Present work
Lepidoblepharis xanthostigma,Lepidoblepharis,Sphaerodactylidae,"Nicaragua, 1991, Rio San Juan - tropical forest",-85.6625,11.04583,0.811,0.15,3,34.22,2,3,31,19,1,2,Oviparous,1,1,0.046,Sit and wait,Tropical,Terrestrial,Present work
Pseudogonatodes guianensis,Pseudogonatodes,Sphaerodactylidae,"Acre, 1996",-72.78,-8.26,0.338,0.109935046,8,26.575,1.227948347,8,24.6,14.4,1,8,Oviparous,1,1,0.117,Sit and wait,Tropical,Terrestrial,Present work
Ameiva ameiva,Ameiva,Teiidae,Brasilia,-47.93,-15.78,NA,NA,NA,133.69,NA,NA,106,43,6.4,83,Oviparous,3,2,0.141,Active,Tropical,Terrestrial,(Vitt and Colli 1994)
Ameiva ameiva,Ameiva,Teiidae,"Exu, 1977",-39.71,-7.51,NA,NA,NA,135.1,NA,NA,NA,NA,5.65,NA,Oviparous,NA,2,NA,Active,Tropical,Terrestrial,(Vitt 1982a)
Ameiva ameiva,Ameiva,Teiidae,"Exu, 1977",-40.17,-7.42,NA,NA,NA,128.8,NA,NA,102,NA,5.7,106,Oviparous,NA,2,0.159,Active,Tropical,Terrestrial,(Vitt and Colli 1994)
Ameiva ameiva,Ameiva,Teiidae,"Altamira, 1987",-52.21,-3.2,55.9,4.8,21,125.3,3,21,NA,NA,4.4,12,Oviparous,NA,2,NA,Active,Tropical,Terrestrial,(Vitt and Colli 1994)
Ameiva ameiva,Ameiva,Teiidae,"Alto Araguaia, 1989",-53.22,-17.31,NA,NA,NA,122.8,3.8,13,NA,NA,4.3,10,Oviparous,NA,2,NA,Active,Tropical,Terrestrial,(Vitt and Colli 1994)
Ameiva ameiva,Ameiva,Teiidae,Boa Vista,-60.67,2.82,NA,NA,NA,126.5,NA,NA,NA,NA,3.9,28,Oviparous,NA,2,NA,Active,Tropical,Terrestrial,"(Colli 1989, Colli 1991)"
Ameiva ameiva,Ameiva,Teiidae,Jaru,-62.47,-10.43,NA,NA,NA,114,NA,NA,NA,NA,3.2,110,Oviparous,NA,2,NA,Active,Tropical,Terrestrial,Present work
Ameiva ameiva,Ameiva,Teiidae,"Brazil, Amazonas, 1998-1999",-59.9,-3.52,93.92,18.38,6,148.82,12.39,6,123,51,5,2,Oviparous,1,1,NA,Active,Tropical,Terrestrial,Present work
Ameiva ameiva,Ameiva,Teiidae,"Cemex, Para, 95",-54.83,-3.15,60.16,25.94,5,127,16.73,5,108,48,3.8,5,Oviparous,1,1,0.096,Active,Tropical,Terrestrial,Present work
Ameiva ameiva,Ameiva,Teiidae,PEGM 1998,-64.56,-10.32,66.021,20.16,14,130.357,14.19,14,92,47,4.385,13,Oviparous,1,1,0.097,Active,Tropical,Terrestrial,Present work
Ameiva ameiva,Ameiva,Teiidae,"Rio Ituxi, 1997",-65.72,-8.33,75.308,16.12,14,140.167,11.49,14,116,50,4.33,12,Oviparous,1,1,NA,Active,Tropical,Terrestrial,Present work
Ameiva ameiva,Ameiva,Teiidae,"Roraima 1991, Boa Vista",-60.67,2.83,52.686,17.59,28,124.18,13.19,28,100,73,3.667,24,Oviparous,2,2,0.116,Active,Tropical,Terrestrial,(Vitt 1982a)
Ameiva ameiva,Ameiva,Teiidae,Roraima 1993,-62.43,2,86.4,17.75,5,147.6,11.19,5,129,74,5.2,5,Oviparous,1,1,NA,Active,Tropical,Terrestrial,(Vitt 1982a)
Ameiva ameiva,Ameiva,Teiidae,Alter do Chao,-54.95,-2.52,64.5,7.09,6,135,7.7,6,134,45,8,2,Oviparous,1,1,NA,Active,Tropical,Terrestrial,Present work
Ameiva ameiva,Ameiva,Teiidae,"Boa Vista, 1992",-60.67,2.82,51.3,15.5,5,130.2,11.28,5,120,47,4.2,5,Oviparous,1,1,NA,Active,Tropical,Terrestrial,Present work
Ameiva ameiva,Ameiva,Teiidae,"Cachimbo, 2001",-54.9,-8.95,23,8.05,8,95.8,10.81,8,81,41,2.6,5,Oviparous,1,1,0.123,Active,Tropical,Terrestrial,Present work
Ameiva ameiva,Ameiva,Teiidae,"Carajas, 1992",-50,-6.12,62.2,22.07,6,130,14.14,6,117,46,4.8,5,Oviparous,1,1,0.088,Active,Tropical,Terrestrial,(Vitt and Colli 1994)
Ameiva ameiva,Ameiva,Teiidae,"Chapada Diamantina, 2013",-41.58,-12.51,50.25,4.33,3,127.66,3.85,3,124.32,43.4,4.5,4,Oviparous,1,1,0.108,Active,Tropical,Terrestrial,Present work
Ameiva ameiva,Ameiva,Teiidae,"Guajara-Mirim, 2001",-65.33,-10.79,44.86,18.06,55,116.36,18.01,55,86,40,2.91,21,Oviparous,1,1,0.13,Active,Tropical,Terrestrial,Present work
Ameiva ameiva,Ameiva,Teiidae,"Humaita, 1991 - 2003",-63.03,-7.51,49,8.02,18,119,6.1,18,110,46,4.2,5,Oviparous,1,1,NA,Active,Tropical,Terrestrial,Present work
Ameiva ameiva,Ameiva,Teiidae,"Jalapao, 2002-2004",-47.07,-10.37,45.425,11.15,5,114,9.69,5,102,51,3.75,4,Oviparous,1,1,NA,Active,Tropical,Terrestrial,Present work
Ameiva ameiva,Ameiva,Teiidae,"Mamanguape, 2009-2010",-35.12,-6.83,22.95,24.11,2,124,4.24,2,121,43,4.5,2,Oviparous,1,1,NA,Active,Tropical,Terrestrial,Present work
Ameiva ameiva,Ameiva,Teiidae,"Minacu, 1991",-48.3,-13.83,59.833,20.88,6,122.33,17.15,6,107,59,3.67,3,Oviparous,1,1,0.126,Active,Tropical,Terrestrial,Present work
Ameiva ameiva,Ameiva,Teiidae,"Monte Alegre, 2002",-54.08,-2,49.5,3.28,3,121,5.67,3,116,45,3.33,3,Oviparous,1,1,NA,Active,Tropical,Terrestrial,Present work
Ameiva ameiva,Ameiva,Teiidae,"Paracatu, 2000",-46.88,-17.22,51.842,22.03,17,109,15.97,17,109,66,5.93,13,Oviparous,2,2,0.185,Active,Tropical,Terrestrial,Present work
Ameiva ameiva,Ameiva,Teiidae,"Pimenta Bueno, 2001",-61.19,-11.67,30.667,10,24,105.43,10.85,24,90,38,3.19,21,Oviparous,2,2,0.132,Active,Tropical,Terrestrial,Present work
Ameiva ameiva,Ameiva,Teiidae,"Vilhena, 1998-1999",-60.13,-12.74,21.75,2.48,2,98,5.66,2,94,39,2.5,2,Oviparous,1,1,NA,Active,Tropical,Terrestrial,Present work
Ameiva festiva,Ameiva,Teiidae,"Pandora, Costa Rica",-82.97,9.74,NA,NA,NA,87.3,NA,NA,77,NA,2.2,NA,Oviparous,3,2,NA,Active,Tropical,Terrestrial,Present work
Ameiva festiva,Ameiva,Teiidae,"Nicaragua, 1991, Rio San Juan - tropical forest",-85.6625,11.04583,35.397,5.88,16,106,6.37,16,85,46,3.455,11,Oviparous,2,2,NA,Active,Tropical,Terrestrial,Present work
Ameiva fuscata,Ameiva,Teiidae,Dominica,-61.37,15.41,NA,NA,NA,111,NA,NA,105,NA,4,NA,Oviparous,NA,2,NA,Active,Tropical,Terrestrial,(Somma and Brooks 1976)
Ameiva parecis,Ameiva,Teiidae,"Vilhena, 1998-1999",-60.13,-12.74,11.827,1.99,17,79.27,5.03,17,72,36,1.64,11,Oviparous,1,1,0.107,Active,Tropical,Terrestrial,Present work
Ameiva quadrilineata,Ameiva,Teiidae,"Pandora, Costa Rica",-82.97,9.74,NA,NA,NA,74,NA,NA,48,NA,2.07,NA,Oviparous,3,2,NA,Active,Tropical,Terrestrial,(Smith 1968)
Aspidoscelis communis,Aspidoscelis,Teiidae,"Greer, Oklahoma",-99.46,34.93,NA,NA,NA,96.5,NA,NA,NA,NA,6.6,NA,Oviparous,NA,NA,NA,Active,Temperate,Terrestrial,(Walker 1982)
Aspidoscelis exsanguis,Aspidoscelis,Teiidae,South Central New Mexico,-107.31,32.87,NA,NA,NA,75,NA,NA,60,NA,2.72,NA,Oviparous,1,1,NA,Active,Temperate,Terrestrial,(Medica 1967)
Aspidoscelis exsanguis,Aspidoscelis,Teiidae,USA,-104,30,12.65,NA,NA,74.99,NA,NA,63,NA,2.868,92,Oviparous,NA,1,0.1325,Active,Temperate,Terrestrial,(Schall 1978)
Aspidoscelis exsanguis,Aspidoscelis,Teiidae,USA,-104,30,12.65,NA,NA,74.99,NA,NA,63,NA,2.868,92,Oviparous,NA,1,0.1325,Active,Temperate,Terrestrial,(Schall 1978)
Aspidoscelis hyperythrus,Aspidoscelis,Teiidae,"Kearny Mesa, San Diego",-117.14,32.83,NA,NA,NA,59.7,NA,NA,53,27,2.3,NA,Oviparous,2,2,NA,Active,Temperate,Terrestrial,(Bostic 1966)
Aspidoscelis inornatus,Aspidoscelis,Teiidae,South Central New Mexico,-107.31,32.87,NA,NA,NA,58,NA,NA,48.2,NA,2.15,NA,Oviparous,2,2,NA,Active,Temperate,Terrestrial,(Medica 1967)
Aspidoscelis neomexicana,Aspidoscelis,Teiidae,South Central New Mexico,-107.31,32.87,NA,NA,NA,65,NA,NA,46.7,NA,1.59,NA,Oviparous,2,2,NA,Active,Temperate,Terrestrial,(Medica 1967)
Aspidoscelis sexlineata,Aspidoscelis,Teiidae,University of Kansas Natural History Reservation,-95.24,38.96,NA,NA,NA,72.8,NA,NA,55,32,2.1,NA,Oviparous,2,2,NA,Active,Temperate,Terrestrial,(Fitch 1958)
Aspidoscelis sonorae,Aspidoscelis,Teiidae,"Portal, Arizona",-109.14,31.91,NA,NA,NA,77.9,NA,NA,61,NA,3.7,NA,Oviparous,2,2,0.16,Active,Temperate,Terrestrial,(Routman and Hulse 1984)
Aspidoscelis tesselatus,Aspidoscelis,Teiidae,"Brewster, Texas",-103.36,29.66,NA,NA,NA,83,NA,NA,NA,NA,3.23,NA,Oviparous,2,2,0.126,Active,Temperate,Terrestrial,(Schall 1978)
Aspidoscelis tesselatus,Cnemidophorus,Teiidae,"Pecos, Texas",-103.49,31.42,NA,NA,NA,83,NA,NA,NA,NA,3.23,NA,Oviparous,2,2,NA,Active,Temperate,Terrestrial,(Schall 1978)
Aspidoscelis tesselatus,Aspidoscelis,Teiidae,USA,-104,30,17.95,NA,NA,82.7,NA,NA,66,NA,3.24,55,Oviparous,NA,1,0.1261,Active,Temperate,Terrestrial,(Schall 1978)
Aspidoscelis tesselatus,Aspidoscelis,Teiidae,USA,-104,30,17.95,NA,NA,82.7,NA,NA,66,NA,3.24,55,Oviparous,NA,1,0.1261,Active,Temperate,Terrestrial,(Schall 1978)
Aspidoscelis tigris,Aspidoscelis,Teiidae,Southwestern Idaho,-113.8,42.53,NA,NA,NA,81.2,NA,NA,69,NA,2.65,NA,Oviparous,1,1,NA,Active,Temperate,Terrestrial,(Tinkle and Ballinger 1972)
Aspidoscelis tigris,Aspidoscelis,Teiidae,San Gabriel Mountains,-117.65,34.29,NA,NA,NA,98.5,NA,NA,83,37,4.1,NA,Oviparous,2,2,0.15,Active,Temperate,Terrestrial,(Parker 1972)
Aspidoscelis tigris,Aspidoscelis,Teiidae,South Central New Mexico,-107.31,32.87,NA,NA,NA,72,NA,NA,61,NA,2,NA,Oviparous,2,2,NA,Active,Temperate,Terrestrial,(Goldberg 1976)
Aspidoscelis tigris,Cnemidophorus,Teiidae,"Guadalupe, California",-120.57,34.97,NA,NA,NA,76.7,NA,NA,NA,NA,2.05,NA,Oviparous,3,2,NA,Active,Temperate,Terrestrial,(Medica 1967)
Aspidoscelis tigris,Aspidoscelis,Teiidae,USA,-104,30,12.2,NA,NA,71.87,NA,NA,60,NA,1.915,48,Oviparous,NA,1,0.1051,Active,Temperate,Terrestrial,(Burkholder and Walker 1973)
Aspidoscelis tigris,Aspidoscelis,Teiidae,USA,-104,30,12.2,NA,NA,71.87,NA,NA,60,NA,1.915,48,Oviparous,NA,1,0.1051,Active,Temperate,Terrestrial,(Schall 1978)
Aspidoscelis tigris,Aspidoscelis,Teiidae,Arizona,-111.09,34.05,NA,NA,NA,76.7,NA,NA,64.5,39,2.05,NA,Oviparous,3,2,0.109,Active,Temperate,Terrestrial,(Schall 1978)
Aspidoscelis tigris,Aspidoscelis,Teiidae,"USA, 1962-1964",-116.26,36.95,15.2,4.74,837,85.6,7.6,837,71,40,2.54,174,Oviparous,NA,1,0.105,Active,Temperate,Terrestrial,(Pianka 1970)
Aspidoscelis tigris,Aspidoscelis,Teiidae,"USA-C, 1962-1964",-111.93,33.13,12.9,4.328,195,81.9,10,195,71,40,2.75,28,Oviparous,1,1,NA,Active,Temperate,Terrestrial,(Pianka 1970)
Aspidoscelis tigris,Aspidoscelis,Teiidae,"USA-M, 1962-1964",-118.15,35.12,14.24,4.415,225,84.436,8.714,225,71,40,2.2093,43,Oviparous,1,1,NA,Active,Temperate,Terrestrial,(Pianka 1970)
Aspidoscelis tigris,Aspidoscelis,Teiidae,"USA-N, 1962-1964",-115.83,42.2,21.4,6.926,39,83.8,8.228,39,71,40,3.037,27,Oviparous,1,1,NA,Active,Temperate,Terrestrial,(Pianka 1970)
Aspidoscelis tigris,Aspidoscelis,Teiidae,"USA-P, 1962-1964",-116.25,36.3,15.5,4.89,37,87.7,10.43,37,71,40,2.4286,7,Oviparous,1,1,NA,Active,Temperate,Terrestrial,(Pianka 1970)
Aspidoscelis tigris,Aspidoscelis,Teiidae,"USA-S, 1962-1964",-114.8,35.3,14.4,4.38,69,84.94,10.33,69,71,40,2.2632,19,Oviparous,1,1,NA,Active,Temperate,Terrestrial,(Pianka 1970)
Aspidoscelis tigris,Aspidoscelis,Teiidae,"USA-T, 1962-1964",-118.3,36.6,19.1,5.25,82,92.4,10.05,82,71,40,2.5455,11,Oviparous,1,1,NA,Active,Temperate,Terrestrial,(Pianka 1970)
Aspidoscelis tigris,Aspidoscelis,Teiidae,"USA-V, 1962-1964",-117.25,37.08,20.7,5.45,37,93.5,7.41,37,71,40,2.8182,11,Oviparous,1,1,NA,Active,Temperate,Terrestrial,(Pianka 1970)
Aspidoscelis tigris,Aspidoscelis,Teiidae,"USA-W, 1962-1964",-113.55,34.7,13.3,2.69,68,83.84,5.77,68,71,40,2.3889,18,Oviparous,1,1,NA,Active,Temperate,Terrestrial,(Pianka 1970)
Aspidoscelis uniparens,Aspidoscelis,Teiidae,"Portal, Arizona",-109.14,31.91,NA,NA,NA,65.5,NA,NA,58,36,2.77,NA,Oviparous,2,2,0.144,Active,Temperate,Terrestrial,(Hulse 1981)
Cnemidophorus cryptus,Cnemidophorus,Teiidae,"Altamira, 1987",-52.21,-3.2,7,0.3,21,64.9,0.8,21,NA,NA,1.9,15,Oviparous,NA,NA,NA,Active,Tropical,Terrestrial,(Vitt et al. 1997)
Cnemidophorus cryptus,Cnemidophorus,Teiidae,Amapa,-50.91,1.51,4.995,0.88,44,58.07,3.71,44,50,31,1.48,21,Oviparous,2,2,0.193,Active,Tropical,Terrestrial,Present work
Cnemidophorus cryptus,Cnemidophorus,Teiidae,"Monte Alegre, 2002",-54.08,-2,5.208,1.25,33,61.63,6.6,33,42,32,1.09,22,Oviparous,2,2,0.128,Active,Tropical,Terrestrial,Present work
Cnemidophorus deppii,Cnemidophorus,Teiidae,"Nicaragua, 1991, Momotombo, Chococente - dry forest",-86.1375,11.47917,9.652,1.26,23,70.95,3.63,23,55,48,1.813,16,Oviparous,2,2,0.128,Active,Tropical,Terrestrial,Present work
Cnemidophorus gramivagus,Cnemidophorus,Teiidae,"Humaita, 1991 - 2003",-63.03,-7.51,8.467,2.14,21,64,5.27,21,56,32,1.67,3,Oviparous,1,1,NA,Active,Tropical,Terrestrial,Present work
Cnemidophorus jalapensis,Cnemidophorus,Teiidae,"Jalapao, 2002-2004",-47.07,-10.37,3.267,0.37,9,52,1.33,9,51,35,1,5,Oviparous,1,1,NA,Active,Tropical,Terrestrial,Present work
Cnemidophorus lemniscatus,Cnemidophorus,Teiidae,Santander,-3.81,43.46,2.52,NA,NA,58.2,NA,NA,51,25,2.17,46,Oviparous,2,2,NA,Active,Tropical,Terrestrial,(Mojica et al. 2003)
Cnemidophorus lemniscatus,Cnemidophorus,Teiidae,"Roraima 1991, Boa Vista",-60.67,2.83,4.463,1.04,19,55.68,4.83,19,46,29,2,17,Oviparous,2,2,NA,Active,Tropical,Terrestrial,Present work
Cnemidophorus lemniscatus,Cnemidophorus,Teiidae,Alter do Chao,-54.95,-2.52,3.844,3.71,16,52,1.17,16,49,35,1.13,8,Oviparous,1,1,0.118,Active,Tropical,Terrestrial,Present work
Cnemidophorus lemniscatus,Cnemidophorus,Teiidae,"Boa Vista, 1992",-60.67,2.82,4.725,1.19,8,56.88,3.36,8,53,41,1.88,8,Oviparous,1,1,0.154,Active,Tropical,Terrestrial,Present work
Cnemidophorus martyris,Cnemidophorus,Teiidae,San Pedro Martir Island,-112.3292,28.37917,NA,NA,NA,68,NA,NA,NA,NA,1.29,NA,Oviparous,NA,2,NA,Active,Temperate,Terrestrial,(Walker 1980)
Cnemidophorus mumbuca,Cnemidophorus,Teiidae,"Dianopolis, 2003",-46.82,-11.63,3.475,0.58,7,53.5,2.31,7,50,34,1,3,Oviparous,1,1,0.157,Active,Tropical,Terrestrial,Present work
Cnemidophorus mumbuca,Cnemidophorus,Teiidae,"Jalapao, 2002-2004",-47.07,-10.37,3.669,0.3,31,53.65,1.45,31,50,30,1,43,Oviparous,1,1,NA,Active,Tropical,Terrestrial,Present work
Cnemidophorus nativo,Cnemidophorus,Teiidae,Prado,-39.23,-17.34,NA,NA,NA,56.1,NA,NA,48.8,30,2.2,37,Oviparous,2,2,NA,Active,Tropical,Terrestrial,(Menezes et al. 2004)
Cnemidophorus ocellifer,Cnemidophorus,Teiidae,"Exu, 1977",-39.71,-7.51,NA,NA,NA,72.52,NA,NA,NA,NA,2.67,41,Oviparous,NA,2,NA,Active,Tropical,Terrestrial,(Vitt 1991)
Cnemidophorus ocellifer,Cnemidophorus,Teiidae,"Exu, 1977",-40.17,-7.42,NA,NA,NA,69.4,NA,NA,55,NA,2.69,NA,Oviparous,3,2,0.207,Active,Tropical,Terrestrial,(Vitt 1983)
Cnemidophorus ocellifer,Cnemidophorus,Teiidae,"Alto Araguaia, 1989",-53.22,-17.31,NA,NA,NA,57.4,0.2,12,NA,NA,2.3,12,Oviparous,1,1,NA,Active,Tropical,Terrestrial,"(Vitt 1986, Vitt 1995)"
Cnemidophorus ocellifer,Cnemidophorus,Teiidae,Alto Paraiso,-47.51,-14.3,NA,NA,NA,62,0,1,54,35,2,1,Oviparous,1,1,NA,Active,Tropical,Terrestrial,Present work
Cnemidophorus ocellifer,Cnemidophorus,Teiidae,"Barra de Cunhau, 2009-2010",-35.04583,-6.3125,NA,NA,NA,59,5.46,19,52,30,6.583,36,Oviparous,1,1,NA,Active,Tropical,Terrestrial,Present work
Cnemidophorus ocellifer,Cnemidophorus,Teiidae,Barra do Garcas,-52.26,-15.89,NA,NA,NA,58.63,4.55,4,51,29,1.75,4,Oviparous,1,1,NA,Active,Tropical,Terrestrial,Present work
Cnemidophorus ocellifer,Cnemidophorus,Teiidae,Brasilia,-47.93,-15.78,NA,NA,NA,66.12,16.15,5,50,37,2.5,5,Oviparous,1,1,NA,Active,Tropical,Terrestrial,Present work
Cnemidophorus ocellifer,Cnemidophorus,Teiidae,"Cabaceiras, 2009-2010",-36.29,-7.47,NA,NA,NA,63.56,5.19,34,54,31,2.029,34,Oviparous,2,2,NA,Active,Tropical,Terrestrial,Present work
Cnemidophorus ocellifer,Cnemidophorus,Teiidae,"Catimbau, 2013",-37.25,-8.59,8.367,1.33,29,73.635,9.58,29,63.41,32.36,2.857,28,Oviparous,1,1,NA,Active,Tropical,Terrestrial,Present work
Cnemidophorus ocellifer,Cnemidophorus,Teiidae,"Chapada Diamantina, 2013",-41.58,-12.51,6.425,0.41,4,62.87,2.93,4,59.69,30.55,2,4,Oviparous,1,1,0.135,Active,Tropical,Terrestrial,Present work
Cnemidophorus ocellifer,Cnemidophorus,Teiidae,Chapada dos Guimaraes,-55.74,-15.45,NA,NA,NA,64.85,1.83,6,60,45,1.83,6,Oviparous,1,1,NA,Active,Tropical,Terrestrial,Present work
Cnemidophorus ocellifer,Cnemidophorus,Teiidae,Coribe,-44.45,-13.83,NA,NA,NA,65.31,5.41,5,57,40,2,5,Oviparous,1,1,NA,Active,Tropical,Terrestrial,Present work
Cnemidophorus ocellifer,Cnemidophorus,Teiidae,Correntina,-44.63,-13.34,NA,NA,NA,57.67,5.29,3,52,43,2.33,3,Oviparous,1,1,NA,Active,Tropical,Terrestrial,Present work
Cnemidophorus ocellifer,Cnemidophorus,Teiidae,Cristalina,-47.61,-16.77,7.25,0.35,2,62.8,2.87,4,55,36,3.33,3,Oviparous,1,1,NA,Active,Tropical,Terrestrial,(Vitt 1983)
Cnemidophorus ocellifer,Cnemidophorus,Teiidae,"ESEC Serido, 2013",-37.4,-6.66,9.107,4.32,16,70.932,21.96,16,60.14,32.52,2.733,15,Oviparous,1,1,0.14,Active,Tropical,Terrestrial,(Vitt 1983)
Cnemidophorus ocellifer,Cnemidophorus,Teiidae,Irece,-41.86,-11.3,NA,NA,NA,72.96,1.41,2,60,32,1.5,2,Oviparous,1,1,NA,Active,Tropical,Terrestrial,Present work
Cnemidophorus ocellifer,Cnemidophorus,Teiidae,"Mamanguape, 2009-2010",-35.12,-6.83,5.28,1.3,30,59.03,5,30,44,28,1.9,25,Oviparous,1,1,NA,Active,Tropical,Terrestrial,Present work
Cnemidophorus ocellifer,Cnemidophorus,Teiidae,"Minacu, 1991",-48.3,-13.83,NA,NA,NA,58.52,4.36,16,40,31,2.25,16,Oviparous,1,1,NA,Active,Tropical,Terrestrial,Present work
Cnemidophorus ocellifer,Cnemidophorus,Teiidae,"Minacu, 1991",-42.34,-11.44,NA,NA,NA,66.38,4.76,6,59,33,1.6,5,Oviparous,1,1,NA,Active,Tropical,Terrestrial,Present work
Cnemidophorus ocellifer,Cnemidophorus,Teiidae,"Parana, 2002-2003",-47.88,-12.62,3.68,0.83,7,51.3,3.37,7,45,33,1.8,5,Oviparous,1,1,0.168,Active,Tropical,Terrestrial,Present work
Cnemidophorus ocellifer,Cnemidophorus,Teiidae,Petrolina,-40.51,-9.39,NA,NA,NA,72.43,4.1,13,63,41,1.75,4,Oviparous,1,1,NA,Active,Tropical,Terrestrial,Present work
Cnemidophorus ocellifer,Cnemidophorus,Teiidae,Pirenopolis,-48.96,-15.85,6.41,0.76,10,64.39,2.56,21,57,35.35,2.2,15,Oviparous,1,1,0.145,Active,Tropical,Terrestrial,Present work
